"filename", "language", "JavaScript", "MS SQL", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-forex-widgets.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-widgets.js", "JavaScript", 6, 0, 0, 0, 2, 0, 8
"c:\Users\chris\Documents\GitHub\polymart\server\api.js", "JavaScript", 11, 0, 0, 0, 1, 2, 14
"c:\Users\chris\Documents\GitHub\polymart\server\forex-simulation.js", "JavaScript", 24, 0, 0, 0, 2, 4, 30
"c:\Users\chris\Documents\GitHub\polymart\server\schema.sql", "MS SQL", 0, 3, 0, 0, 5, 1, 9
"c:\Users\chris\Documents\GitHub\polymart\server\tick.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\chris\Documents\GitHub\polymart\src\lib\SimulationContext.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 11
"c:\Users\chris\Documents\GitHub\polymart\src\pages\ForexPage.tsx", "TypeScript JSX", 0, 0, 0, 153, -7, -1, 145
"c:\Users\chris\Documents\GitHub\polymart\src\types\polymart-widgets.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 7
"Total", "-", 48, 3, 7, 164, 3, 6, 231
