"filename", "language", "TypeScript", "JSON", "Docker", "JSON with Comments", "Ignore", "YAML", "Markdown", "HTML", "XML", "JavaScript", "MS SQL", "TypeScript JSX", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\polymart\.dockerignore", "Ignore", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\chris\Documents\GitHub\polymart\Dockerfile", "Docker", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 28
"c:\Users\chris\Documents\GitHub\polymart\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 49, 130
"c:\Users\chris\Documents\GitHub\polymart\SETUP.md", "Markdown", 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 209, 734
"c:\Users\chris\Documents\GitHub\polymart\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\chris\Documents\GitHub\polymart\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 52
"c:\Users\chris\Documents\GitHub\polymart\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\chris\Documents\GitHub\polymart\package-lock.json", "JSON", 0, 5750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5751
"c:\Users\chris\Documents\GitHub\polymart\package.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\chris\Documents\GitHub\polymart\public\demo\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 823, 0, 0, 0, 0, 0, 0, 9, 47, 879
"c:\Users\chris\Documents\GitHub\polymart\public\game\demo\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1344, 0, 0, 0, 0, 0, 0, 13, 156, 1513
"c:\Users\chris\Documents\GitHub\polymart\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-forex-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 559, 0, 0, 0, 0, 37, 48, 644
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 717, 0, 0, 0, 0, 58, 61, 836
"c:\Users\chris\Documents\GitHub\polymart\server\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 811, 0, 0, 0, 0, 45, 100, 956
"c:\Users\chris\Documents\GitHub\polymart\server\company-data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 25, 35, 470
"c:\Users\chris\Documents\GitHub\polymart\server\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"c:\Users\chris\Documents\GitHub\polymart\server\forex-simulation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 520, 0, 0, 0, 0, 29, 34, 583
"c:\Users\chris\Documents\GitHub\polymart\server\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 34, 11, 187
"c:\Users\chris\Documents\GitHub\polymart\server\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 4, 12, 89
"c:\Users\chris\Documents\GitHub\polymart\server\simulation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 30, 56, 726
"c:\Users\chris\Documents\GitHub\polymart\server\tick.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 6, 33, 288
"c:\Users\chris\Documents\GitHub\polymart\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 17, 265
"c:\Users\chris\Documents\GitHub\polymart\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 19, 60, 567
"c:\Users\chris\Documents\GitHub\polymart\src\components\mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\chris\Documents\GitHub\polymart\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 1, 46, 231
"c:\Users\chris\Documents\GitHub\polymart\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 7, 65
