"filename", "language", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Docker", "YAML", "HTML", "Markdown", "MS SQL", "XML", "JavaScript", "TypeScript JSX", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\polymart\.dockerignore", "Ignore", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\chris\Documents\GitHub\polymart\Dockerfile", "Docker", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 34
"c:\Users\chris\Documents\GitHub\polymart\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 49, 130
"c:\Users\chris\Documents\GitHub\polymart\SETUP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 209, 734
"c:\Users\chris\Documents\GitHub\polymart\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\chris\Documents\GitHub\polymart\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 65
"c:\Users\chris\Documents\GitHub\polymart\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\chris\Documents\GitHub\polymart\package-lock.json", "JSON", 0, 0, 8439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8440
"c:\Users\chris\Documents\GitHub\polymart\package.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\chris\Documents\GitHub\polymart\public\demo\index.html", "HTML", 0, 0, 0, 0, 0, 0, 823, 0, 0, 0, 0, 0, 0, 0, 9, 47, 879
"c:\Users\chris\Documents\GitHub\polymart\public\game\demo\index.html", "HTML", 0, 0, 0, 0, 0, 0, 1344, 0, 0, 0, 0, 0, 0, 0, 13, 156, 1513
"c:\Users\chris\Documents\GitHub\polymart\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-forex-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 559, 0, 0, 0, 37, 48, 644
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 717, 0, 0, 0, 58, 61, 836
"c:\Users\chris\Documents\GitHub\polymart\server\account-api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 594, 0, 0, 0, 36, 95, 725
"c:\Users\chris\Documents\GitHub\polymart\server\admin-api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 20, 51, 449
"c:\Users\chris\Documents\GitHub\polymart\server\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 811, 0, 0, 0, 45, 100, 956
"c:\Users\chris\Documents\GitHub\polymart\server\asset-resolver.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 8, 39
"c:\Users\chris\Documents\GitHub\polymart\server\billing-api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 6, 17, 174
"c:\Users\chris\Documents\GitHub\polymart\server\communities-api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 714, 0, 0, 0, 43, 99, 856
